open,high,low,close,volume,ema_5_ratio,ema_10_ratio,ema_20_ratio,macd,macd_hist,atr_ratio,rsi_14,volume_ratio,obv,return_1d,return_5d,volatility_20d,date,target_return_5d,target_direction
22.65,23.5,22.6,23.15,130955995,0.027164201951199507,0.05084396423166426,0.07033388486745085,0.5064505412246838,0.1705549900744644,0.04575748225856218,64.09313725490195,0.9227807187957615,6425511551.0,0.031180400890868487,0.11031175059952014,0.03720054114388933,2020-10-16,-0.056155507559395135,0
23.5,23.9,22.15,22.2,151731427,-0.010041662136911156,0.006308144780210911,0.02383561834677983,0.4915689877089271,0.12453874924696612,0.049967824967824974,64.5679012345679,1.0628089617114067,6273780124.0,-0.04103671706263501,0.059665871121718395,0.0382299411877754,2020-10-19,-0.04954954954954949,0
22.1,22.65,21.75,22.2,92835745,-0.006716924453260442,0.005155296573414514,0.02151671524587928,0.4743077251229728,0.08582198932880947,0.04996782496782497,65.5388471177945,0.6834731287924412,6273780124.0,0.0,-0.022026431718061623,0.035221644454810595,2020-10-20,-0.03603603603603611,0
22.35,23.1,22.25,22.4,97681450,0.001486608657276678,0.011597012978542542,0.02771281669750092,0.47133314360836565,0.06627792625136181,0.048947704081632654,64.28571428571429,0.7351254336639467,6371461574.0,0.009009009009008917,-0.03655913978494629,0.03442546227242022,2020-10-21,-0.02678571428571419,0
22.35,22.7,21.85,22.35,77702113,-0.0004993596640894271,0.007628034472972223,0.0229424354085217,0.45964270916120853,0.04366999344336375,0.049217002237136445,65.13157894736844,0.60992344536231,6293759461.0,-0.0022321428571426827,-0.00445434298440972,0.030628887167652847,2020-10-22,-0.015659955257270708,0
22.35,22.55,21.55,21.85,89578040,-0.015356717875318449,-0.01223552529470251,5.231048184728415e-05,0.40535940343582055,-0.008490649825619423,0.050016345210853214,59.09090909090911,0.7142760047789523,6204181421.0,-0.022371364653243853,-0.056155507559395135,0.03111703674725759,2020-10-23,0.011441647597254079,1
21.25,21.8,21.0,21.1,135274965,-0.03331556525583945,-0.038070687211230414,-0.03111175259333332,0.29838120774286736,-0.09237507641485815,0.05162491536899119,51.85185185185187,1.0641341976377086,6068906456.0,-0.034324942791762014,-0.04954954954954949,0.03199842474640367,2020-10-27,0.05213270142180093,1
21.2,21.95,20.95,21.4,121067243,-0.013133168651041194,-0.020047616902998056,-0.01571097378912134,0.23509765034533459,-0.12452690704991276,0.05123497997329774,50.0,0.971383344182085,6189973699.0,0.0142180094786728,-0.03603603603603611,0.029893048647638452,2020-10-28,0.11915887850467288,1
20.95,22.2,20.75,21.8,121019750,0.00353569857887992,-0.001416513875052483,0.002430429802779299,0.21474617203849178,-0.1159027082854045,0.05209698558322411,50.632911392405084,0.9769539426887272,6310993449.0,0.01869158878504673,-0.02678571428571419,0.02995797847255537,2020-10-29,0.11238532110091737,1
22.3,23.1,21.9,22.0,257486304,0.008459035796526404,0.006327746210295748,0.010508066207772337,0.21230844775776703,-0.09467234605290342,0.051298701298701295,57.93103448275862,1.9726471186972863,6568479753.0,0.00917431192660545,-0.015659955257270708,0.029644891414500538,2020-10-30,0.14090909090909087,1
22.2,22.5,21.45,22.1,139921666,0.008657653251040287,0.008902142498744547,0.013643444858582265,0.21595628830411684,-0.07281960440524288,0.05252100840336135,57.93103448275863,1.0516845365255332,6708401419.0,0.00454545454545463,0.011441647597254079,0.029507936087790534,2020-11-02,0.15610859728506776,1
22.4,23.0,22.2,22.2,136541260,0.008775799646275395,0.010991794115374987,0.01646528297252625,0.2243304506888144,-0.05155635361643629,0.04938867438867439,45.53571428571428,1.0086387896261835,6844942679.0,0.004524886877828038,0.05213270142180093,0.029305431446400666,2020-11-03,0.10135135135135132,1
22.2,24.45,21.9,23.95,373003396,0.05718130816016931,0.07299494902889458,0.08659618846890282,0.36793607135273376,0.07363941363798643,0.05010438413361169,55.147058823529406,2.4782112443929374,7217946075.0,0.0788288288288288,0.11915887850467288,0.03363150856191294,2020-11-04,-0.06263048016701467,0
